Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
Joe Burrow,28,CIN,QB,17,17,9-8-0,460,652,70.6,4918,43,6.6,9,1.4,253,53.6,70,7.5,8.24,10.7,289.3,108.5,74.7,48,278,6.86,6.63,7.28,1,2,"PB,AP MVP-4,AP OPoY-5,AP CPoY-1"
Jared Goff,30,DET,QB,17,17,15-2-0,390,539,72.4,4629,37,6.9,12,2.2,236,54.7,82,8.6,8.96,11.9,272.3,111.8,68.4,31,234,5.44,7.71,8.06,4,4,"PB,AP MVP-5,AP OPoY-9"
Baker Mayfield,29,TAM,QB,17,17,10-7-0,407,570,71.4,4500,41,7.2,16,2.8,224,53.9,57,7.9,8.07,11.1,264.7,106.8,61.6,40,248,6.56,6.97,7.13,2,2,"PB,AP MVP-11,AP OPoY-11"
Geno Smith,34,SEA,QB,17,17,10-7-0,407,578,70.4,4320,21,3.6,15,2.6,209,48.4,71,7.5,7.03,10.6,254.1,93.2,53.8,50,338,7.96,6.34,5.93,4,4,4
Sam Darnold,27,MIN,QB,17,17,14-3-0,361,545,66.2,4319,35,6.4,12,2.2,207,47.7,97,7.9,8.22,12.0,254.1,102.5,60.4,48,335,8.09,6.72,6.99,3,5,"PB,AP MVP-10,AP CPoY-3"
Lamar Jackson,27,BAL,QB,17,17,12-5-0,316,474,66.7,4172,41,8.6,4,0.8,198,51.3,84,8.8,10.15,13.2,245.4,119.6,77.3,23,149,4.63,8.09,9.38,2,2,"PB,AP-1,AP MVP-2,AP OPoY-2"
Patrick Mahomes,29,KAN,QB,16,16,15-1-0,392,581,67.5,3928,26,4.5,11,1.9,214,50.7,54,6.8,6.80,10.0,245.5,93.5,67.6,36,239,5.83,5.98,6.02,5,7,"AP MVP-6,AP OPoY-17"
Aaron Rodgers,41,NYJ,QB,17,17,5-12-0,368,584,63.0,3897,28,4.8,11,1.9,192,43.9,71,6.7,6.78,10.6,229.2,90.5,48.0,40,302,6.41,5.76,5.87,2,3,AP CPoY-7
Justin Herbert,26,LAC,QB,17,17,11-6-0,332,504,65.9,3870,23,4.6,3,0.6,175,44.4,66,7.7,8.32,11.7,227.6,101.7,64.8,41,244,7.52,6.65,7.25,1,2,"AP MVP-9,AP CPoY-12"
Brock Purdy,25,SFO,QB,15,15,6-9-0,300,455,65.9,3864,20,4.4,12,2.6,178,49.4,76,8.5,8.18,12.9,257.6,96.1,67.9,31,156,6.38,7.63,7.34,1,1,1
Kyler Murray,27,ARI,QB,17,17,8-9-0,372,541,68.8,3851,21,3.9,11,2.0,191,51.7,60,7.1,6.98,10.4,226.5,93.5,66.5,30,220,5.25,6.36,6.23,3,3,AP CPoY-10
Bo Nix,24,DEN,QB,17,17,10-7-0,376,567,66.3,3775,29,5.1,12,2.1,170,43.7,93,6.7,6.73,10.0,222.1,93.3,56.8,24,198,4.06,6.05,6.12,3,3,AP ORoY-3
Matthew Stafford,36,LAR,QB,16,16,10-6-0,340,517,65.8,3762,20,3.9,8,1.5,176,50.1,69,7.3,7.35,11.1,235.1,93.7,64.7,28,213,5.14,6.51,6.59,3,5,5
Josh Allen,28,BUF,QB,17,17,13-4-0,307,483,63.6,3731,28,5.8,6,1.2,173,49.1,64,7.7,8.33,12.2,219.5,101.4,77.3,14,63,2.82,7.38,7.96,0,2,"PB,AP-2,AP MVP-1,AP OPoY-6"
C.J. Stroud,23,HOU,QB,17,17,10-7-0,336,532,63.2,3727,20,3.8,12,2.3,187,43.0,67,7.0,6.74,11.1,219.2,87.0,49.8,52,408,8.90,5.68,5.44,1,2,2
Jayden Daniels,24,WAS,QB,17,17,12-5-0,331,480,69.0,3568,25,5.2,9,1.9,170,47.1,86,7.4,7.63,10.8,209.9,100.1,70.6,47,238,8.92,6.32,6.50,4,4,"PB,AP MVP-7,AP OPoY-17,AP ORoY-1"
Caleb Williams,23,CHI,QB,17,17,5-12-0,351,562,62.5,3541,20,3.6,6,1.1,171,40.3,47,6.3,6.53,10.1,208.3,87.8,46.7,68,466,10.79,4.88,5.09,2,1,AP ORoY-10
Kirk Cousins,36,ATL,QB,14,14,7-7-0,303,453,66.9,3508,18,4.0,16,3.5,163,46.4,60,7.7,6.95,11.6,250.6,88.6,50.4,28,201,5.82,6.88,6.13,3,3,AP CPoY-13
Jordan Love,26,GNB,QB,15,15,9-6-0,268,425,63.1,3389,25,5.9,11,2.6,151,48.3,70,8.0,7.99,12.6,225.9,96.7,69.3,14,95,3.19,7.50,7.51,2,2,2
Jalen Hurts,26,PHI,QB,15,15,12-3-0,248,361,68.7,2903,18,5.0,5,1.4,139,46.6,67,8.0,8.42,11.7,193.5,103.7,65.6,38,271,9.52,6.60,6.93,3,4,4
Tua Tagovailoa,26,MIA,QB,11,11,6-5-0,291,399,72.9,2867,19,4.8,7,1.8,161,51.9,80,7.2,7.35,9.9,260.6,101.4,60.3,21,154,5.00,6.46,6.61,2,2,2
Russell Wilson,36,PIT,QB,11,11,6-5-0,214,336,63.7,2482,16,4.8,5,1.5,112,43.6,46,7.4,7.67,11.6,225.6,95.6,51.3,33,219,8.94,6.13,6.39,1,1,"PB,AP CPoY-14"
Bryce Young,23,CAR,QB,14,12,4-8-0,234,384,60.9,2403,15,3.9,9,2.3,117,39.0,83,6.3,5.98,10.3,171.6,82.2,54.1,29,186,7.02,5.37,5.11,1,4,4
Drake Maye,22,NWE,QB,13,12,3-9-0,225,338,66.6,2276,15,4.4,10,3.0,112,46.0,40,6.7,6.29,10.1,175.1,88.1,58.6,34,229,9.14,5.50,5.10,0,0,"PB,AP ORoY-8"
Derek Carr,33,NOR,QB,10,10,5-5-0,189,279,67.7,2145,15,5.4,5,1.8,93,45.3,71,7.7,7.96,11.3,214.5,101.0,63.4,8,48,2.79,7.31,7.57,0,1,1
Jameis Winston,30,CLE,QB,12,7,2-5-0,181,296,61.1,2121,13,4.4,12,4.1,103,44.1,89,7.2,6.22,11.7,176.8,80.6,55.6,24,130,7.50,6.22,5.35,2,2,2
Will Levis,25,TEN,QB,12,12,2-10-0,190,301,63.1,2091,13,4.3,12,4.0,86,36.5,98,6.9,6.02,11.0,174.3,81.4,27.8,41,233,11.99,5.43,4.61,1,1,1
Daniel Jones,27,NYG,QB,10,10,2-8-0,216,341,63.3,2070,8,2.3,7,2.1,106,43.0,43,6.1,5.62,9.6,207.0,79.4,47.8,29,172,7.84,5.13,4.71,0,0,0
Trevor Lawrence,25,JAX,QB,10,10,2-8-0,172,284,60.6,2045,11,3.9,7,2.5,97,45.4,85,7.2,6.87,11.9,204.5,85.2,59.5,18,140,5.96,6.31,5.99,0,1,1
Gardner Minshew II,28,LVR,QB,10,9,2-7-0,203,306,66.3,2013,9,2.9,10,3.3,106,44.2,57,6.6,5.70,9.9,201.3,81.0,38.1,29,164,8.66,5.52,4.71,1,1,1
Dak Prescott,31,DAL,QB,8,8,3-5-0,185,286,64.7,1978,11,3.8,8,2.8,87,45.3,65,6.9,6.43,10.7,247.3,86.0,45.3,21,112,6.84,6.08,5.62,1,1,1
Cooper Rush,31,DAL,QB,12,8,4-4-0,187,308,60.7,1844,12,3.9,5,1.6,92,42.4,64,6.0,6.04,9.9,153.7,83.8,41.0,13,95,4.05,5.45,5.50,0,0,0
Anthony Richardson,22,IND,QB,11,11,6-5-0,126,264,47.7,1814,8,3.0,12,4.5,73,36.0,69,6.9,5.43,14.4,164.9,61.6,47.4,14,115,5.04,6.11,4.74,2,3,AP CPoY-25
Joe Flacco,39,IND,QB,8,6,2-4-0,162,248,65.3,1761,12,4.8,7,2.8,87,46.2,65,7.1,6.80,10.9,220.1,90.5,53.4,18,123,6.77,6.16,5.88,1,2,2
Mac Jones,26,JAX,QB,10,7,2-5-0,171,262,65.3,1672,8,3.1,8,3.1,77,42.8,62,6.4,5.62,9.8,167.2,80.5,39.8,14,100,5.07,5.70,4.97,1,1,1
Aidan O'Connell,26,LVR,QB,9,7,2-5-0,154,243,63.4,1612,8,3.3,4,1.6,78,47.8,58,6.6,6.55,10.5,179.1,86.7,49.4,10,82,3.95,6.05,5.97,1,1,1
Mason Rudolph,29,TEN,QB,8,5,1-4-0,146,228,64.0,1530,9,3.9,9,3.9,78,49.0,47,6.7,5.72,10.5,191.3,80.1,55.5,11,71,4.60,6.10,5.16,0,1,1
Spencer Rattler,24,NOR,QB,7,6,0-6-0,130,228,57.0,1317,4,1.8,5,2.2,62,34.8,41,5.8,5.14,10.1,188.1,70.4,40.3,22,136,8.80,4.72,4.14,0,0,0
Deshaun Watson,29,CLE,QB,7,7,1-6-0,137,216,63.4,1148,5,2.3,3,1.4,49,33.3,35,5.3,5.15,8.4,164.0,79.0,23.4,33,191,13.25,3.84,3.70,0,0,0
Justin Fields,25,PIT,QB,10,6,4-2-0,106,161,65.8,1106,5,3.1,1,0.6,45,42.9,55,6.9,7.21,10.4,110.6,93.3,50.8,16,124,9.04,5.55,5.86,0,1,1
Drew Lock,28,NYG,QB,8,5,1-4-0,107,181,59.1,1071,6,3.3,5,2.8,45,39.9,59,5.9,5.34,10.0,133.9,75.5,46.4,12,88,6.22,5.09,4.55,0,0,0
Andy Dalton,37,CAR,QB,6,5,1-4-0,106,160,66.3,989,7,4.4,6,3.8,50,40.7,39,6.2,5.37,9.3,164.8,82.0,55.4,7,37,4.19,5.70,4.92,0,0,0
Tyler Huntley,26,MIA,QB,5,5,2-3-0,86,133,64.7,829,3,2.3,3,2.3,45,40.5,25,6.2,5.67,9.6,165.8,80.1,35.2,15,92,10.14,4.98,4.47,1,1,1
Jacoby Brissett,32,NWE,QB,8,5,1-4-0,95,161,59.0,826,2,1.2,1,0.6,41,35.8,50,5.1,5.10,8.7,103.3,74.2,44.8,18,119,10.06,3.95,3.92,1,1,1
Michael Penix,24,ATL,QB,5,3,1-2-0,61,105,58.1,775,3,2.9,3,2.9,35,42.2,42,7.4,6.67,12.7,155.0,78.9,51.0,4,14,3.67,6.98,6.29,0,0,0
Malik Willis,25,GNB,QB,7,2,2-0-0,40,54,74.1,550,3,5.6,0,0.0,20,37.1,51,10.2,11.30,13.8,78.6,124.8,79.6,8,37,12.90,8.27,9.24,0,1,1
Desmond Ridder,25,LVR,QB,6,1,0-1-0,52,85,61.2,458,2,2.4,2,2.4,24,42.1,28,5.4,4.80,8.8,76.3,73.6,28.0,10,64,10.53,4.15,3.62,0,0,0
Dorian Thompson-Robinson,25,CLE,QB,7,2,0-2-0,61,118,51.7,440,0,0.0,6,5.1,20,27.8,29,3.7,1.44,7.2,62.9,39.5,19.4,8,47,6.35,3.12,0.98,0,0,0
Marcus Mariota,31,WAS,QB,3,0,0,34,44,77.3,364,4,9.1,0,0.0,22,55.3,29,8.3,10.09,10.7,121.3,131.2,87.8,3,29,6.38,7.13,8.83,1,1,1
Joshua Dobbs,29,SFO,QB,2,1,0-1-0,32,47,68.1,361,2,4.3,2,4.3,18,55.1,36,7.7,6.62,11.3,180.5,87.3,37.4,2,28,4.08,6.80,5.78,0,0,0
Jimmy Garoppolo,33,LAR,QB,1,1,0-1-0,27,41,65.9,334,2,4.9,1,2.4,16,50.0,50,8.1,8.02,12.4,334.0,97.0,48.3,3,15,6.82,7.25,7.14,0,0,0
Tanner McKee,24,PHI,QB,2,1,1-0-0,30,45,66.7,323,4,8.9,0,0.0,17,48.9,25,7.2,8.96,10.8,161.5,117.2,68.5,2,17,4.26,6.51,8.21,0,0,0
Kenny Pickett,26,PHI,QB,5,1,1-0-0,25,42,59.5,291,2,4.8,1,2.4,12,41.3,49,6.9,6.81,11.6,58.2,86.5,75.7,4,33,8.70,5.61,5.50,0,0,0
